wallclock_utc,minutes,age_seconds
08:38:02,0.0,0.0
08:38:13,0.18,0.0
08:38:24,0.37,0.0
08:38:35,0.55,0.0
08:38:45,0.72,0.0
08:38:56,0.9,0.0
08:39:07,1.08,49.0
08:39:18,1.27,49.0
08:39:29,1.45,49.0
08:39:40,1.63,49.0
08:39:50,1.8,49.0
08:40:01,1.98,78.0
08:40:12,2.17,78.0
08:40:23,2.35,78.0
08:40:34,2.53,78.0
08:40:45,2.72,78.0
08:40:55,2.88,78.0
08:41:06,3.07,134.0
08:41:17,3.25,134.0
08:41:28,3.43,134.0
08:41:39,3.62,134.0
08:41:50,3.8,134.0
08:42:01,3.98,192.0
08:42:11,4.15,192.0
08:42:22,4.33,192.0
08:42:33,4.52,192.0
08:42:44,4.7,192.0
08:42:55,4.88,192.0
08:43:06,5.07,250.0
08:43:16,5.23,250.0
08:43:27,5.42,250.0
08:43:38,5.6,250.0
08:43:49,5.78,250.0
08:44:00,5.97,250.0
08:44:11,6.15,307.0
08:44:22,6.33,307.0
08:44:32,6.5,307.0
08:44:43,6.68,307.0
08:44:54,6.87,307.0
08:45:05,7.05,366.0
08:45:16,7.23,366.0
08:45:27,7.42,366.0
08:45:37,7.58,366.0
08:45:48,7.77,366.0
08:45:59,7.95,366.0
08:46:10,8.13,423.0
08:46:21,8.32,423.0
08:46:32,8.5,423.0
08:46:42,8.67,423.0
08:46:53,8.85,423.0
08:47:04,9.03,481.0
08:47:15,9.22,481.0
08:47:26,9.4,481.0
08:47:37,9.58,481.0
08:47:47,9.75,481.0
08:47:58,9.93,481.0
08:48:09,10.12,539.0
08:48:20,10.3,539.0
08:48:31,10.48,539.0
08:48:42,10.67,539.0
08:48:53,10.85,539.0
08:49:03,11.02,597.0
08:49:14,11.2,597.0
08:49:25,11.38,597.0
08:49:36,11.57,597.0
08:49:47,11.75,597.0
08:49:58,11.93,597.0
08:50:08,12.1,655.0
08:50:19,12.28,655.0
08:50:30,12.47,655.0
08:50:41,12.65,655.0
08:50:52,12.83,655.0
08:51:03,13.02,713.0
08:51:13,13.18,713.0
08:51:24,13.37,713.0
08:51:35,13.55,713.0
08:51:46,13.73,713.0
08:51:57,13.92,713.0
08:52:08,14.1,771.0
08:52:19,14.28,771.0
08:52:29,14.45,771.0
08:52:40,14.63,771.0
08:52:51,14.82,771.0
08:53:02,15.0,828.0
08:53:13,15.18,828.0
08:53:24,15.37,828.0
08:53:34,15.53,828.0
08:53:45,15.72,828.0
08:53:56,15.9,828.0
08:54:07,16.08,886.0
08:54:18,16.27,886.0
08:54:29,16.45,886.0
08:54:39,16.62,886.0
08:54:50,16.8,886.0
08:55:01,16.98,944.0
08:55:12,17.17,944.0
08:55:23,17.35,944.0
08:55:34,17.53,944.0
08:55:45,17.72,944.0
08:55:55,17.88,944.0
08:56:06,18.07,1002.0
08:56:17,18.25,1002.0
08:56:28,18.43,1002.0
08:56:39,18.62,1002.0
08:56:50,18.8,1002.0
08:57:00,18.97,1060.0
08:57:11,19.15,1060.0
08:57:22,19.33,1060.0
08:57:33,19.52,1060.0
08:57:44,19.7,1060.0
08:57:55,19.88,1060.0
08:58:05,20.05,1118.0
08:58:16,20.23,1118.0
08:58:27,20.42,1118.0
08:58:38,20.6,1118.0
08:58:49,20.78,1118.0
08:59:00,20.97,1118.0
08:59:11,21.15,1175.0
08:59:21,21.32,1175.0
08:59:32,21.5,1175.0
08:59:43,21.68,1175.0
08:59:54,21.87,1175.0
09:00:05,22.05,1233.0
09:00:16,22.23,1233.0
09:00:26,22.4,1233.0
09:00:37,22.58,1233.0
09:00:48,22.77,1233.0
09:00:59,22.95,1233.0
09:01:10,23.13,1291.0
09:01:21,23.32,1291.0
09:01:31,23.48,1291.0
09:01:42,23.67,1291.0
09:01:53,23.85,1291.0
09:02:04,24.03,1348.0
09:02:15,24.22,1348.0
09:02:26,24.4,1348.0
09:02:37,24.58,1348.0
09:02:47,24.75,1348.0
09:02:58,24.93,1348.0
09:03:09,25.12,1405.0
09:03:20,25.3,1405.0
09:03:31,25.48,1405.0
09:03:42,25.67,1405.0
09:03:52,25.83,1405.0
09:04:03,26.02,1463.0
09:04:14,26.2,1463.0
09:04:25,26.38,1463.0
09:04:36,26.57,1463.0
09:04:47,26.75,1463.0
09:04:57,26.92,1463.0
09:05:08,27.1,1521.0
09:05:19,27.28,1521.0
09:05:30,27.47,1521.0
09:05:41,27.65,1521.0
09:05:52,27.83,1521.0
09:06:03,28.02,1579.0
09:06:13,28.18,1579.0
09:06:24,28.37,1579.0
09:06:35,28.55,1579.0
09:06:46,28.73,1579.0
09:06:57,28.92,1579.0
09:07:08,29.1,1637.0
09:07:18,29.27,1637.0
09:07:29,29.45,1637.0
09:07:40,29.63,1637.0
09:07:51,29.82,1637.0
09:08:02,30.0,1695.0
09:08:13,30.18,1695.0
09:08:24,30.37,1695.0
09:08:34,30.53,1695.0
09:08:45,30.72,1695.0
09:08:56,30.9,1695.0
09:09:07,31.08,1753.0
09:09:18,31.27,1753.0
09:09:29,31.45,1753.0
09:09:39,31.62,1753.0
09:09:50,31.8,1753.0
09:10:01,31.98,1811.0
09:10:12,32.17,1811.0
09:10:23,32.35,1811.0
09:10:34,32.53,1811.0
09:10:44,32.7,1811.0
09:10:55,32.88,1811.0
09:11:06,33.07,1868.0
09:11:17,33.25,1868.0
09:11:28,33.43,1868.0
09:11:39,33.62,1868.0
09:11:50,33.8,1868.0
09:12:00,33.97,1926.0
09:12:11,34.15,1926.0
09:12:22,34.33,1926.0
09:12:33,34.52,1926.0
09:12:44,34.7,1926.0
09:12:55,34.88,1926.0
09:13:05,35.05,1984.0
09:13:16,35.23,1984.0
09:13:27,35.42,1984.0
09:13:38,35.6,1984.0
09:13:49,35.78,1984.0
09:14:00,35.97,1984.0
09:14:11,36.15,2042.0
09:14:21,36.32,2042.0
09:14:32,36.5,2042.0
09:14:43,36.68,2042.0
09:14:54,36.87,2042.0
09:15:05,37.05,2100.0
09:15:16,37.23,2100.0
09:15:26,37.4,2100.0
09:15:37,37.58,2100.0
09:15:48,37.77,2100.0
09:15:59,37.95,2100.0
09:16:10,38.13,2157.0
09:16:21,38.32,2157.0
09:16:31,38.48,2157.0
09:16:42,38.67,2157.0
09:16:53,38.85,2157.0
09:17:04,39.03,2212.0
09:17:15,39.22,2212.0
09:17:26,39.4,2212.0
09:17:37,39.58,2212.0
09:17:47,39.75,2212.0
09:17:58,39.93,2212.0
09:18:09,40.12,2270.0
09:18:20,40.3,2270.0
09:18:31,40.48,2270.0
09:18:42,40.67,2270.0
09:18:52,40.83,2270.0
09:19:03,41.02,2327.0
09:19:14,41.2,2327.0
09:19:25,41.38,2327.0
09:19:36,41.57,2327.0
09:19:47,41.75,2327.0
09:19:58,41.93,2327.0
09:20:08,42.1,2385.0
09:20:19,42.28,2385.0
09:20:30,42.47,2385.0
09:20:41,42.65,2385.0
09:20:47,42.75,2385.0
09:20:52,42.83,2385.0
09:20:58,42.93,2385.0
09:21:03,43.02,2443.0
09:21:08,43.1,2443.0
09:21:13,43.18,2443.0
09:21:19,43.28,2443.0
09:21:24,43.37,2443.0
09:21:30,43.47,2443.0
09:21:35,43.55,2443.0
