wallclock_utc,elapsed_s,metric_ts,age_seconds
07:48:05,0,07:47:00,0.0
07:48:15,11,07:47:00,0.0
07:48:26,22,07:47:00,0.0
07:48:37,33,07:47:00,0.0
07:48:48,44,07:47:00,0.0
07:48:59,55,07:47:00,0.0
07:49:10,65,07:48:00,25.0
07:49:20,76,07:48:00,25.0
07:49:31,87,07:48:00,25.0
07:49:42,98,07:48:00,25.0
07:49:53,109,07:48:00,25.0
07:50:04,120,07:49:00,60.0
07:50:15,130,07:49:00,60.0
07:50:25,141,07:49:00,60.0
07:50:36,152,07:49:00,60.0
07:50:47,163,07:49:00,60.0
07:50:58,174,07:49:00,60.0
07:51:09,185,07:50:00,60.0
07:51:20,195,07:50:00,60.0
07:51:31,206,07:50:00,60.0
07:51:41,217,07:50:00,60.0
07:51:52,228,07:50:00,60.0
07:52:03,239,07:51:00,60.0
07:52:14,250,07:51:00,60.0
07:52:25,261,07:51:00,60.0
07:52:36,271,07:51:00,60.0
07:52:46,282,07:51:00,60.0
07:52:57,293,07:51:00,60.0
07:53:08,304,07:52:00,60.0
07:53:19,315,07:52:00,60.0
07:53:30,326,07:52:00,60.0
07:53:41,336,07:52:00,60.0
07:53:52,347,07:52:00,60.0
07:54:02,358,07:53:00,60.0
07:54:13,369,07:53:00,60.0
07:54:24,380,07:53:00,60.0
07:54:35,391,07:53:00,60.0
07:54:46,401,07:53:00,60.0
07:54:57,412,07:53:00,60.0
07:55:07,423,07:54:00,60.0
07:55:18,434,07:54:00,60.0
07:55:29,445,07:54:00,60.0
07:55:40,456,07:54:00,60.0
07:55:51,467,07:54:00,60.0
07:56:02,477,07:55:00,60.0
07:56:12,488,07:55:00,60.0
07:56:23,499,07:55:00,60.0
07:56:34,510,07:55:00,60.0
07:56:45,521,07:55:00,60.0
07:56:56,532,07:55:00,60.0
07:57:07,542,07:56:00,60.0
07:57:18,553,07:56:00,60.0
07:57:28,564,07:56:00,60.0
07:57:39,575,07:56:00,60.0
07:57:50,586,07:56:00,60.0
07:58:01,597,07:57:00,60.0
07:58:12,608,07:57:00,60.0
07:58:23,618,07:57:00,60.0
07:58:33,629,07:57:00,60.0
07:58:44,640,07:57:00,60.0
07:58:55,651,07:57:00,60.0
07:59:06,662,07:58:00,60.0
07:59:17,673,07:58:00,60.0
