elapsed_sec,op,lat_mean_us,lat_p99_us,timestamp_utc,phase
-1,read,244.0,374.0,2026-09-06T03:29:27Z,baseline
-1,write,796.5,23424.0,2026-09-06T03:29:27Z,baseline
-2,read,223.8,314.0,2026-09-06T03:29:43Z,baseline
-2,write,696.2,17024.0,2026-09-06T03:29:43Z,baseline
-3,read,207.8,262.0,2026-09-06T03:30:00Z,baseline
-3,write,690.9,15936.0,2026-09-06T03:30:00Z,baseline
-4,read,221.4,318.0,2026-09-06T03:30:17Z,baseline
-4,write,713.7,15936.0,2026-09-06T03:30:17Z,baseline
-5,read,222.4,314.0,2026-09-06T03:30:33Z,baseline
-5,write,767.0,19328.0,2026-09-06T03:30:33Z,baseline
0,read,217.1,302.0,2026-09-06T03:31:39Z,upgrade
0,write,797.6,22656.0,2026-09-06T03:31:39Z,upgrade
16,read,212.0,298.0,2026-09-06T03:31:55Z,upgrade
16,write,791.7,19840.0,2026-09-06T03:31:55Z,upgrade
33,read,223.4,322.0,2026-09-06T03:32:12Z,upgrade
33,write,745.8,18816.0,2026-09-06T03:32:12Z,upgrade
50,read,220.6,306.0,2026-09-06T03:32:29Z,upgrade
50,write,701.6,17536.0,2026-09-06T03:32:29Z,upgrade
67,read,220.3,310.0,2026-09-06T03:32:46Z,upgrade
67,write,697.9,15680.0,2026-09-06T03:32:46Z,upgrade
83,read,228.0,378.0,2026-09-06T03:33:02Z,upgrade
83,write,780.1,18816.0,2026-09-06T03:33:02Z,upgrade
100,read,227.1,366.0,2026-09-06T03:33:19Z,upgrade
100,write,792.8,21632.0,2026-09-06T03:33:19Z,upgrade
117,read,227.7,362.0,2026-09-06T03:33:36Z,upgrade
117,write,724.8,17280.0,2026-09-06T03:33:36Z,upgrade
133,read,227.3,358.0,2026-09-06T03:33:52Z,upgrade
133,write,756.5,18560.0,2026-09-06T03:33:52Z,upgrade
150,read,223.2,318.0,2026-09-06T03:34:09Z,upgrade
150,write,765.3,19840.0,2026-09-06T03:34:09Z,upgrade
167,read,222.5,314.0,2026-09-06T03:34:26Z,upgrade
167,write,12335.6,13888.0,2026-09-06T03:34:26Z,upgrade
316,read,713.3,1208.0,2026-09-06T03:36:55Z,upgrade
316,write,619.1,7328.0,2026-09-06T03:36:55Z,upgrade
333,read,419.0,988.0,2026-09-06T03:37:12Z,upgrade
333,write,572.9,6368.0,2026-09-06T03:37:12Z,upgrade
350,read,327.1,900.0,2026-09-06T03:37:29Z,upgrade
350,write,687.9,14528.0,2026-09-06T03:37:29Z,upgrade
366,read,283.4,740.0,2026-09-06T03:37:45Z,upgrade
366,write,539.5,1752.0,2026-09-06T03:37:45Z,upgrade
383,read,266.2,732.0,2026-09-06T03:38:02Z,upgrade
383,write,513.0,1496.0,2026-09-06T03:38:02Z,upgrade
400,read,255.0,692.0,2026-09-06T03:38:19Z,upgrade
400,write,593.4,7072.0,2026-09-06T03:38:19Z,upgrade
416,read,244.5,684.0,2026-09-06T03:38:35Z,upgrade
416,write,544.8,1976.0,2026-09-06T03:38:35Z,upgrade
433,read,237.3,668.0,2026-09-06T03:38:52Z,upgrade
433,write,451.5,652.0,2026-09-06T03:38:52Z,upgrade
450,read,234.6,580.0,2026-09-06T03:39:09Z,upgrade
450,write,619.3,11072.0,2026-09-06T03:39:09Z,upgrade
466,read,232.4,494.0,2026-09-06T03:39:25Z,upgrade
466,write,647.6,10560.0,2026-09-06T03:39:25Z,upgrade
483,read,231.3,394.0,2026-09-06T03:39:42Z,upgrade
483,write,647.0,11328.0,2026-09-06T03:39:42Z,upgrade
500,read,230.9,430.0,2026-09-06T03:39:59Z,upgrade
500,write,672.8,13120.0,2026-09-06T03:39:59Z,upgrade
517,read,232.2,434.0,2026-09-06T03:40:16Z,upgrade
517,write,648.5,9536.0,2026-09-06T03:40:16Z,upgrade
533,read,230.7,374.0,2026-09-06T03:40:32Z,upgrade
533,write,714.2,15680.0,2026-09-06T03:40:32Z,upgrade
550,read,228.5,596.0,2026-09-06T03:40:49Z,upgrade
550,write,719.5,14400.0,2026-09-06T03:40:49Z,upgrade
567,read,231.9,378.0,2026-09-06T03:41:06Z,upgrade
567,write,677.5,14400.0,2026-09-06T03:41:06Z,upgrade
584,read,230.0,370.0,2026-09-06T03:41:23Z,upgrade
584,write,950.9,5536.0,2026-09-06T03:41:23Z,upgrade
600,read,229.8,370.0,2026-09-06T03:41:39Z,upgrade
600,write,647.3,9408.0,2026-09-06T03:41:39Z,upgrade
617,read,234.2,414.0,2026-09-06T03:41:56Z,upgrade
617,write,625.3,8384.0,2026-09-06T03:41:56Z,upgrade
634,read,231.5,430.0,2026-09-06T03:42:13Z,upgrade
634,write,652.2,11456.0,2026-09-06T03:42:13Z,upgrade
651,read,231.1,374.0,2026-09-06T03:42:30Z,upgrade
651,write,668.7,12736.0,2026-09-06T03:42:30Z,upgrade
667,read,228.9,366.0,2026-09-06T03:42:46Z,upgrade
667,write,652.5,13248.0,2026-09-06T03:42:46Z,upgrade
684,read,231.9,374.0,2026-09-06T03:43:03Z,upgrade
684,write,671.7,13504.0,2026-09-06T03:43:03Z,upgrade
701,read,234.3,378.0,2026-09-06T03:43:20Z,upgrade
701,write,620.4,9408.0,2026-09-06T03:43:20Z,upgrade
717,read,230.5,370.0,2026-09-06T03:43:36Z,upgrade
717,write,634.2,12992.0,2026-09-06T03:43:36Z,upgrade
734,read,229.9,374.0,2026-09-06T03:43:53Z,upgrade
734,write,674.4,13632.0,2026-09-06T03:43:53Z,upgrade
751,read,233.2,434.0,2026-09-06T03:44:10Z,upgrade
751,write,648.9,8512.0,2026-09-06T03:44:10Z,upgrade
768,read,363.5,1400.0,2026-09-06T03:44:27Z,upgrade
768,write,874.6,12864.0,2026-09-06T03:44:27Z,upgrade
784,read,903.8,1352.0,2026-09-06T03:44:43Z,upgrade
784,write,674.3,940.0,2026-09-06T03:44:43Z,upgrade
801,read,590.4,1256.0,2026-09-06T03:45:00Z,upgrade
801,write,898.3,916.0,2026-09-06T03:45:00Z,upgrade
818,read,347.9,1080.0,2026-09-06T03:45:17Z,upgrade
818,write,469.0,652.0,2026-09-06T03:45:17Z,upgrade
835,read,288.3,852.0,2026-09-06T03:45:34Z,upgrade
