elapsed_sec,op,lat_mean_us,lat_p99_us,timestamp_utc,phase
-1,read,222.0,314.0,2026-09-06T05:19:48Z,baseline
-1,write,641.9,15808.0,2026-09-06T05:19:48Z,baseline
-2,read,196.8,350.0,2026-09-06T05:20:05Z,baseline
-2,write,664.1,15680.0,2026-09-06T05:20:05Z,baseline
-3,read,192.2,338.0,2026-09-06T05:20:21Z,baseline
-3,write,609.9,13760.0,2026-09-06T05:20:21Z,baseline
-4,read,187.4,314.0,2026-09-06T05:20:38Z,baseline
-4,write,608.7,15168.0,2026-09-06T05:20:38Z,baseline
-5,read,188.0,318.0,2026-09-06T05:20:55Z,baseline
-5,write,630.4,15936.0,2026-09-06T05:20:55Z,baseline
-16,read,186.6,282.0,2026-09-06T05:21:24Z,upgrade
-16,write,660.4,17536.0,2026-09-06T05:21:24Z,upgrade
1,read,185.9,282.0,2026-09-06T05:21:41Z,upgrade
1,write,640.5,16192.0,2026-09-06T05:21:41Z,upgrade
17,read,188.9,334.0,2026-09-06T05:21:57Z,upgrade
17,write,588.1,12096.0,2026-09-06T05:21:57Z,upgrade
34,read,189.9,330.0,2026-09-06T05:22:14Z,upgrade
34,write,592.9,13504.0,2026-09-06T05:22:14Z,upgrade
51,read,184.7,274.0,2026-09-06T05:22:31Z,upgrade
51,write,617.0,12352.0,2026-09-06T05:22:31Z,upgrade
67,read,185.5,274.0,2026-09-06T05:22:47Z,upgrade
67,write,714.5,20864.0,2026-09-06T05:22:47Z,upgrade
84,read,189.6,330.0,2026-09-06T05:23:04Z,upgrade
84,write,658.0,15680.0,2026-09-06T05:23:04Z,upgrade
101,read,190.3,330.0,2026-09-06T05:23:21Z,upgrade
101,write,591.8,12736.0,2026-09-06T05:23:21Z,upgrade
118,read,189.5,330.0,2026-09-06T05:23:38Z,upgrade
118,write,582.0,10560.0,2026-09-06T05:23:38Z,upgrade
134,read,190.8,346.0,2026-09-06T05:23:54Z,upgrade
134,write,685.8,18560.0,2026-09-06T05:23:54Z,upgrade
151,read,191.7,338.0,2026-09-06T05:24:11Z,upgrade
151,write,617.2,12224.0,2026-09-06T05:24:11Z,upgrade
168,read,345.7,334.0,2026-09-06T05:24:28Z,upgrade
168,write,536.0,1560.0,2026-09-06T05:24:28Z,upgrade
186,read,272.2,414.0,2026-09-06T05:24:46Z,upgrade
186,write,695.0,13248.0,2026-09-06T05:24:46Z,upgrade
203,read,336.2,1112.0,2026-09-06T05:25:03Z,upgrade
203,write,555.2,1020.0,2026-09-06T05:25:03Z,upgrade
220,read,698.1,1160.0,2026-09-06T05:25:20Z,upgrade
220,write,565.2,3120.0,2026-09-06T05:25:20Z,upgrade
236,read,410.9,1080.0,2026-09-06T05:25:36Z,upgrade
236,write,547.8,3728.0,2026-09-06T05:25:36Z,upgrade
253,read,299.0,1012.0,2026-09-06T05:25:53Z,upgrade
253,write,492.7,3120.0,2026-09-06T05:25:53Z,upgrade
270,read,259.8,1004.0,2026-09-06T05:26:10Z,upgrade
270,write,366.3,572.0,2026-09-06T05:26:10Z,upgrade
286,read,235.4,740.0,2026-09-06T05:26:26Z,upgrade
286,write,628.6,14528.0,2026-09-06T05:26:26Z,upgrade
303,read,217.9,756.0,2026-09-06T05:26:43Z,upgrade
303,write,622.3,12736.0,2026-09-06T05:26:43Z,upgrade
320,read,207.4,708.0,2026-09-06T05:27:00Z,upgrade
320,write,599.1,11200.0,2026-09-06T05:27:00Z,upgrade
337,read,200.6,700.0,2026-09-06T05:27:17Z,upgrade
337,write,618.3,11840.0,2026-09-06T05:27:17Z,upgrade
353,read,195.8,684.0,2026-09-06T05:27:33Z,upgrade
353,write,670.8,17024.0,2026-09-06T05:27:33Z,upgrade
370,read,192.6,652.0,2026-09-06T05:27:50Z,upgrade
370,write,592.2,7392.0,2026-09-06T05:27:50Z,upgrade
387,read,194.1,398.0,2026-09-06T05:28:07Z,upgrade
387,write,581.7,10048.0,2026-09-06T05:28:07Z,upgrade
404,read,190.1,644.0,2026-09-06T05:28:24Z,upgrade
404,write,655.9,14784.0,2026-09-06T05:28:24Z,upgrade
420,read,188.4,422.0,2026-09-06T05:28:40Z,upgrade
420,write,390.1,620.0,2026-09-06T05:28:40Z,upgrade
437,read,187.8,386.0,2026-09-06T05:28:57Z,upgrade
437,write,479.4,1320.0,2026-09-06T05:28:57Z,upgrade
454,read,187.2,414.0,2026-09-06T05:29:14Z,upgrade
454,write,685.7,17024.0,2026-09-06T05:29:14Z,upgrade
470,read,186.6,410.0,2026-09-06T05:29:30Z,upgrade
470,write,639.7,13760.0,2026-09-06T05:29:30Z,upgrade
487,read,186.0,414.0,2026-09-06T05:29:47Z,upgrade
487,write,622.6,12864.0,2026-09-06T05:29:47Z,upgrade
504,read,186.6,394.0,2026-09-06T05:30:04Z,upgrade
504,write,713.5,16768.0,2026-09-06T05:30:04Z,upgrade
521,read,185.1,350.0,2026-09-06T05:30:21Z,upgrade
521,write,713.8,18304.0,2026-09-06T05:30:21Z,upgrade
537,read,184.6,338.0,2026-09-06T05:30:37Z,upgrade
537,write,734.8,19072.0,2026-09-06T05:30:37Z,upgrade
554,read,186.0,342.0,2026-09-06T05:30:54Z,upgrade
554,write,708.5,18560.0,2026-09-06T05:30:54Z,upgrade
571,read,187.4,398.0,2026-09-06T05:31:11Z,upgrade
571,write,683.1,16512.0,2026-09-06T05:31:11Z,upgrade
588,read,184.4,330.0,2026-09-06T05:31:28Z,upgrade
588,write,653.3,15040.0,2026-09-06T05:31:28Z,upgrade
604,read,184.2,326.0,2026-09-06T05:31:44Z,upgrade
604,write,1038.2,6880.0,2026-09-06T05:31:44Z,upgrade
621,read,183.9,338.0,2026-09-06T05:32:01Z,upgrade
621,write,677.1,15680.0,2026-09-06T05:32:01Z,upgrade
638,read,183.2,298.0,2026-09-06T05:32:18Z,upgrade
638,write,607.3,11584.0,2026-09-06T05:32:18Z,upgrade
654,read,181.8,306.0,2026-09-06T05:32:34Z,upgrade
654,write,659.3,14784.0,2026-09-06T05:32:34Z,upgrade
671,read,181.4,282.0,2026-09-06T05:32:51Z,upgrade
671,write,679.8,15680.0,2026-09-06T05:32:51Z,upgrade
688,read,184.1,326.0,2026-09-06T05:33:08Z,upgrade
688,write,657.0,14528.0,2026-09-06T05:33:08Z,upgrade
705,read,184.1,322.0,2026-09-06T05:33:25Z,upgrade
705,write,740.2,20096.0,2026-09-06T05:33:25Z,upgrade
721,read,180.6,290.0,2026-09-06T05:33:41Z,upgrade
721,write,600.3,12608.0,2026-09-06T05:33:41Z,upgrade
738,read,179.4,346.0,2026-09-06T05:33:58Z,upgrade
738,write,625.1,12736.0,2026-09-06T05:33:58Z,upgrade
755,read,179.1,270.0,2026-09-06T05:34:15Z,upgrade
755,write,719.7,18304.0,2026-09-06T05:34:15Z,upgrade
