elapsed_sec,op,lat_mean_us,lat_p99_us,timestamp_utc,phase
-1,read,217.0,310.0,2026-09-06T06:28:52Z,baseline
-1,write,669.3,18048.0,2026-09-06T06:28:52Z,baseline
-2,read,197.8,378.0,2026-09-06T06:29:09Z,baseline
-2,write,708.0,15424.0,2026-09-06T06:29:09Z,baseline
-3,read,183.6,278.0,2026-09-06T06:29:26Z,baseline
-3,write,674.9,18560.0,2026-09-06T06:29:26Z,baseline
-4,read,183.2,286.0,2026-09-06T06:29:42Z,baseline
-4,write,632.7,14784.0,2026-09-06T06:29:42Z,baseline
-5,read,189.5,354.0,2026-09-06T06:29:59Z,baseline
-5,write,600.8,13504.0,2026-09-06T06:29:59Z,baseline
0,read,188.9,346.0,2026-09-06T06:30:27Z,upgrade
0,write,653.9,15680.0,2026-09-06T06:30:27Z,upgrade
17,read,182.4,282.0,2026-09-06T06:30:44Z,upgrade
17,write,637.0,15040.0,2026-09-06T06:30:44Z,upgrade
34,read,187.8,358.0,2026-09-06T06:31:01Z,upgrade
34,write,607.8,13632.0,2026-09-06T06:31:01Z,upgrade
50,read,186.7,330.0,2026-09-06T06:31:17Z,upgrade
50,write,607.3,12864.0,2026-09-06T06:31:17Z,upgrade
67,read,187.1,326.0,2026-09-06T06:31:34Z,upgrade
67,write,624.1,13504.0,2026-09-06T06:31:34Z,upgrade
84,read,187.0,326.0,2026-09-06T06:31:51Z,upgrade
84,write,668.5,17792.0,2026-09-06T06:31:51Z,upgrade
101,read,194.9,422.0,2026-09-06T06:32:08Z,upgrade
101,write,674.3,17024.0,2026-09-06T06:32:08Z,upgrade
117,read,188.6,394.0,2026-09-06T06:32:24Z,upgrade
117,write,643.5,15808.0,2026-09-06T06:32:24Z,upgrade
134,read,191.1,414.0,2026-09-06T06:32:41Z,upgrade
134,write,631.4,14528.0,2026-09-06T06:32:41Z,upgrade
151,read,186.9,338.0,2026-09-06T06:32:58Z,upgrade
151,write,709.5,19328.0,2026-09-06T06:32:58Z,upgrade
167,read,188.2,342.0,2026-09-06T06:33:14Z,upgrade
167,write,582.4,12096.0,2026-09-06T06:33:14Z,upgrade
184,read,189.0,346.0,2026-09-06T06:33:31Z,upgrade
184,write,626.9,14656.0,2026-09-06T06:33:31Z,upgrade
201,read,14794.6,394.0,2026-09-06T06:33:48Z,upgrade
201,write,579.3,2256.0,2026-09-06T06:33:48Z,upgrade
279,read,837.5,1288.0,2026-09-06T06:35:06Z,upgrade
279,write,509.7,2096.0,2026-09-06T06:35:06Z,upgrade
296,read,440.2,1096.0,2026-09-06T06:35:23Z,upgrade
296,write,541.0,5664.0,2026-09-06T06:35:23Z,upgrade
312,read,329.3,1032.0,2026-09-06T06:35:39Z,upgrade
312,write,471.8,1608.0,2026-09-06T06:35:39Z,upgrade
329,read,273.5,892.0,2026-09-06T06:35:56Z,upgrade
329,write,591.0,7200.0,2026-09-06T06:35:56Z,upgrade
346,read,242.6,756.0,2026-09-06T06:36:13Z,upgrade
346,write,582.5,8640.0,2026-09-06T06:36:13Z,upgrade
362,read,222.6,740.0,2026-09-06T06:36:29Z,upgrade
362,write,573.6,9536.0,2026-09-06T06:36:29Z,upgrade
379,read,210.5,716.0,2026-09-06T06:36:46Z,upgrade
379,write,595.0,11328.0,2026-09-06T06:36:46Z,upgrade
396,read,206.3,692.0,2026-09-06T06:37:03Z,upgrade
396,write,551.5,6624.0,2026-09-06T06:37:03Z,upgrade
413,read,202.6,668.0,2026-09-06T06:37:20Z,upgrade
413,write,548.4,5472.0,2026-09-06T06:37:20Z,upgrade
429,read,197.0,708.0,2026-09-06T06:37:36Z,upgrade
429,write,609.6,11712.0,2026-09-06T06:37:36Z,upgrade
446,read,191.8,700.0,2026-09-06T06:37:53Z,upgrade
446,write,509.1,1736.0,2026-09-06T06:37:53Z,upgrade
463,read,189.4,660.0,2026-09-06T06:38:10Z,upgrade
463,write,685.4,16512.0,2026-09-06T06:38:10Z,upgrade
479,read,185.7,676.0,2026-09-06T06:38:26Z,upgrade
479,write,674.7,16768.0,2026-09-06T06:38:26Z,upgrade
496,read,184.1,334.0,2026-09-06T06:38:43Z,upgrade
496,write,652.1,15808.0,2026-09-06T06:38:43Z,upgrade
513,read,185.5,346.0,2026-09-06T06:39:00Z,upgrade
513,write,623.8,13504.0,2026-09-06T06:39:00Z,upgrade
530,read,186.7,338.0,2026-09-06T06:39:17Z,upgrade
530,write,676.4,16512.0,2026-09-06T06:39:17Z,upgrade
546,read,187.8,346.0,2026-09-06T06:39:33Z,upgrade
546,write,706.3,17536.0,2026-09-06T06:39:33Z,upgrade
563,read,185.1,338.0,2026-09-06T06:39:50Z,upgrade
563,write,608.2,8512.0,2026-09-06T06:39:50Z,upgrade
580,read,192.5,414.0,2026-09-06T06:40:07Z,upgrade
580,write,628.8,12992.0,2026-09-06T06:40:07Z,upgrade
596,read,190.5,410.0,2026-09-06T06:40:23Z,upgrade
596,write,629.3,13504.0,2026-09-06T06:40:23Z,upgrade
613,read,187.5,346.0,2026-09-06T06:40:40Z,upgrade
613,write,658.8,14272.0,2026-09-06T06:40:40Z,upgrade
630,read,188.9,394.0,2026-09-06T06:40:57Z,upgrade
630,write,679.1,16064.0,2026-09-06T06:40:57Z,upgrade
647,read,189.4,394.0,2026-09-06T06:41:14Z,upgrade
647,write,644.6,11328.0,2026-09-06T06:41:14Z,upgrade
663,read,184.4,338.0,2026-09-06T06:41:30Z,upgrade
663,write,741.7,4768.0,2026-09-06T06:41:30Z,upgrade
680,read,182.8,346.0,2026-09-06T06:41:47Z,upgrade
680,write,555.6,6560.0,2026-09-06T06:41:47Z,upgrade
697,read,182.6,290.0,2026-09-06T06:42:04Z,upgrade
697,write,625.5,11456.0,2026-09-06T06:42:04Z,upgrade
714,read,181.2,318.0,2026-09-06T06:42:21Z,upgrade
714,write,582.4,10048.0,2026-09-06T06:42:21Z,upgrade
730,read,180.5,298.0,2026-09-06T06:42:37Z,upgrade
730,write,608.3,11712.0,2026-09-06T06:42:37Z,upgrade
747,read,180.4,310.0,2026-09-06T06:42:54Z,upgrade
747,write,624.6,11712.0,2026-09-06T06:42:54Z,upgrade
764,read,191.6,358.0,2026-09-06T06:43:11Z,upgrade
764,write,601.4,8768.0,2026-09-06T06:43:11Z,upgrade
780,read,186.3,338.0,2026-09-06T06:43:27Z,upgrade
780,write,587.4,9536.0,2026-09-06T06:43:27Z,upgrade
797,read,189.6,346.0,2026-09-06T06:43:44Z,upgrade
797,write,593.8,11072.0,2026-09-06T06:43:44Z,upgrade
814,read,189.3,362.0,2026-09-06T06:44:01Z,upgrade
814,write,650.6,12608.0,2026-09-06T06:44:01Z,upgrade
831,read,188.7,342.0,2026-09-06T06:44:18Z,upgrade
831,write,609.8,11584.0,2026-09-06T06:44:18Z,upgrade
847,read,251.1,1224.0,2026-09-06T06:44:34Z,upgrade
847,write,1129.5,24960.0,2026-09-06T06:44:34Z,upgrade
864,read,781.2,1240.0,2026-09-06T06:44:51Z,upgrade
864,write,483.3,740.0,2026-09-06T06:44:51Z,upgrade
881,read,479.7,1144.0,2026-09-06T06:45:08Z,upgrade
881,write,470.6,628.0,2026-09-06T06:45:08Z,upgrade
898,read,453.6,756.0,2026-09-06T06:45:25Z,upgrade
898,write,415.8,708.0,2026-09-06T06:45:25Z,upgrade
914,read,323.2,1020.0,2026-09-06T06:45:41Z,upgrade
914,write,495.0,478.0,2026-09-06T06:45:41Z,upgrade
931,read,269.6,844.0,2026-09-06T06:45:58Z,upgrade
931,write,387.8,556.0,2026-09-06T06:45:58Z,upgrade
948,read,232.1,788.0,2026-09-06T06:46:15Z,upgrade
948,write,365.6,604.0,2026-09-06T06:46:15Z,upgrade
964,read,216.7,724.0,2026-09-06T06:46:31Z,upgrade
964,write,459.9,748.0,2026-09-06T06:46:31Z,upgrade
981,read,207.0,700.0,2026-09-06T06:46:48Z,upgrade
981,write,501.2,1448.0,2026-09-06T06:46:48Z,upgrade
998,read,202.3,668.0,2026-09-06T06:47:05Z,upgrade
998,write,440.6,604.0,2026-09-06T06:47:05Z,upgrade
1015,read,196.1,684.0,2026-09-06T06:47:22Z,upgrade
1015,write,418.4,474.0,2026-09-06T06:47:22Z,upgrade
1031,read,190.5,684.0,2026-09-06T06:47:38Z,upgrade
1031,write,480.3,1400.0,2026-09-06T06:47:38Z,upgrade
1048,read,188.4,604.0,2026-09-06T06:47:55Z,upgrade
1048,write,482.6,2064.0,2026-09-06T06:47:55Z,upgrade
1065,read,187.6,366.0,2026-09-06T06:48:12Z,upgrade
1065,write,444.2,556.0,2026-09-06T06:48:12Z,upgrade
1081,read,185.9,430.0,2026-09-06T06:48:28Z,upgrade
1081,write,503.4,1112.0,2026-09-06T06:48:28Z,upgrade
1098,read,186.9,338.0,2026-09-06T06:48:45Z,upgrade
1098,write,498.4,3408.0,2026-09-06T06:48:45Z,upgrade
1115,read,186.2,406.0,2026-09-06T06:49:02Z,upgrade
1115,write,491.7,2128.0,2026-09-06T06:49:02Z,upgrade
1132,read,185.3,386.0,2026-09-06T06:49:19Z,upgrade
1132,write,445.0,572.0,2026-09-06T06:49:19Z,upgrade
1148,read,187.6,342.0,2026-09-06T06:49:35Z,upgrade
1148,write,427.3,628.0,2026-09-06T06:49:35Z,upgrade
1165,read,184.4,322.0,2026-09-06T06:49:52Z,upgrade
1165,write,455.3,836.0,2026-09-06T06:49:52Z,upgrade
1182,read,183.4,362.0,2026-09-06T06:50:09Z,upgrade
1182,write,449.6,612.0,2026-09-06T06:50:09Z,upgrade
1199,read,183.0,342.0,2026-09-06T06:50:26Z,upgrade
1199,write,529.9,5024.0,2026-09-06T06:50:26Z,upgrade
1215,read,182.9,334.0,2026-09-06T06:50:42Z,upgrade
1215,write,468.9,908.0,2026-09-06T06:50:42Z,upgrade
1232,read,184.3,394.0,2026-09-06T06:50:59Z,upgrade
1232,write,514.2,1560.0,2026-09-06T06:50:59Z,upgrade
1249,read,187.3,394.0,2026-09-06T06:51:16Z,upgrade
1249,write,407.5,676.0,2026-09-06T06:51:16Z,upgrade
1266,read,187.7,402.0,2026-09-06T06:51:33Z,upgrade
1266,write,392.5,620.0,2026-09-06T06:51:33Z,upgrade
1282,read,188.0,402.0,2026-09-06T06:51:49Z,upgrade
1282,write,397.5,636.0,2026-09-06T06:51:49Z,upgrade
1299,read,187.0,394.0,2026-09-06T06:52:06Z,upgrade
1299,write,386.4,548.0,2026-09-06T06:52:06Z,upgrade
1316,read,183.3,334.0,2026-09-06T06:52:23Z,upgrade
1316,write,385.7,524.0,2026-09-06T06:52:23Z,upgrade
1333,read,182.7,338.0,2026-09-06T06:52:40Z,upgrade
1333,write,409.9,524.0,2026-09-06T06:52:40Z,upgrade
1349,read,181.1,580.0,2026-09-06T06:52:56Z,upgrade
1349,write,377.8,454.0,2026-09-06T06:52:56Z,upgrade
1366,read,180.0,298.0,2026-09-06T06:53:13Z,upgrade
1366,write,409.1,494.0,2026-09-06T06:53:13Z,upgrade
1383,read,182.6,290.0,2026-09-06T06:53:30Z,upgrade
1383,write,370.7,466.0,2026-09-06T06:53:30Z,upgrade
1399,read,179.2,298.0,2026-09-06T06:53:46Z,upgrade
1399,write,388.7,498.0,2026-09-06T06:53:46Z,upgrade
1416,read,182.5,342.0,2026-09-06T06:54:03Z,upgrade
1416,write,371.0,478.0,2026-09-06T06:54:03Z,upgrade
1433,read,178.4,298.0,2026-09-06T06:54:20Z,upgrade
1433,write,396.9,462.0,2026-09-06T06:54:20Z,upgrade
