elapsed_sec,op,lat_mean_us,lat_p99_us,timestamp,phase
0,read,186.11,414.00,2026-09-06T06:32:30Z,baseline
8,write,303.18,580.00,2026-09-06T06:32:38Z,baseline
18,read,181.64,374.00,2026-09-06T06:32:48Z,baseline
26,write,298.73,604.00,2026-09-06T06:32:56Z,baseline
35,read,180.19,342.00,2026-09-06T06:33:05Z,baseline
44,write,299.89,540.00,2026-09-06T06:33:14Z,baseline
53,read,180.70,330.00,2026-09-06T06:33:23Z,baseline
61,write,303.32,572.00,2026-09-06T06:33:31Z,baseline
71,read,180.41,338.00,2026-09-06T06:33:41Z,baseline
79,write,295.45,502.00,2026-09-06T06:33:49Z,baseline
10,read,178.93,330.00,2026-09-06T06:34:23Z,upgrade
18,write,295.35,572.00,2026-09-06T06:34:31Z,upgrade
28,read,177.92,326.00,2026-09-06T06:34:41Z,upgrade
36,write,302.30,564.00,2026-09-06T06:34:49Z,upgrade
45,read,179.01,346.00,2026-09-06T06:34:58Z,upgrade
54,write,298.64,532.00,2026-09-06T06:35:07Z,upgrade
63,read,179.36,338.00,2026-09-06T06:35:16Z,upgrade
71,write,291.01,506.00,2026-09-06T06:35:24Z,upgrade
81,read,176.57,290.00,2026-09-06T06:35:34Z,upgrade
89,write,292.74,532.00,2026-09-06T06:35:42Z,upgrade
98,read,176.00,290.00,2026-09-06T06:35:51Z,upgrade
107,write,298.64,556.00,2026-09-06T06:36:00Z,upgrade
116,read,181.28,322.00,2026-09-06T06:36:09Z,upgrade
125,write,292.35,510.00,2026-09-06T06:36:18Z,upgrade
134,read,175.66,290.00,2026-09-06T06:36:27Z,upgrade
142,write,292.99,524.00,2026-09-06T06:36:35Z,upgrade
152,read,176.98,290.00,2026-09-06T06:36:45Z,upgrade
160,write,295.57,564.00,2026-09-06T06:36:53Z,upgrade
169,read,180.80,354.00,2026-09-06T06:37:02Z,upgrade
178,write,8855.94,932.00,2026-09-06T06:37:11Z,upgrade
250,read,1472.98,20352.00,2026-09-06T06:38:23Z,upgrade
259,write,343.97,868.00,2026-09-06T06:38:32Z,upgrade
268,read,516.72,1128.00,2026-09-06T06:38:41Z,upgrade
276,write,311.65,446.00,2026-09-06T06:38:49Z,upgrade
286,read,358.14,1192.00,2026-09-06T06:38:59Z,upgrade
294,write,376.99,1240.00,2026-09-06T06:39:07Z,upgrade
303,read,287.68,1048.00,2026-09-06T06:39:16Z,upgrade
312,write,319.72,498.00,2026-09-06T06:39:25Z,upgrade
321,read,252.00,796.00,2026-09-06T06:39:34Z,upgrade
330,write,321.80,564.00,2026-09-06T06:39:43Z,upgrade
339,read,229.48,764.00,2026-09-06T06:39:52Z,upgrade
347,write,327.78,636.00,2026-09-06T06:40:00Z,upgrade
357,read,216.93,724.00,2026-09-06T06:40:10Z,upgrade
365,write,328.28,652.00,2026-09-06T06:40:18Z,upgrade
374,read,207.47,716.00,2026-09-06T06:40:27Z,upgrade
383,write,316.19,532.00,2026-09-06T06:40:36Z,upgrade
392,read,201.28,724.00,2026-09-06T06:40:45Z,upgrade
400,write,348.35,636.00,2026-09-06T06:40:53Z,upgrade
410,read,197.51,676.00,2026-09-06T06:41:03Z,upgrade
418,write,327.06,596.00,2026-09-06T06:41:11Z,upgrade
428,read,194.38,676.00,2026-09-06T06:41:21Z,upgrade
436,write,330.58,620.00,2026-09-06T06:41:29Z,upgrade
445,read,193.94,410.00,2026-09-06T06:41:38Z,upgrade
454,write,324.28,636.00,2026-09-06T06:41:47Z,upgrade
463,read,186.64,692.00,2026-09-06T06:41:56Z,upgrade
471,write,321.08,620.00,2026-09-06T06:42:04Z,upgrade
481,read,183.63,620.00,2026-09-06T06:42:14Z,upgrade
489,write,310.58,474.00,2026-09-06T06:42:22Z,upgrade
498,read,181.66,620.00,2026-09-06T06:42:31Z,upgrade
507,write,317.70,564.00,2026-09-06T06:42:40Z,upgrade
516,read,179.89,434.00,2026-09-06T06:42:49Z,upgrade
524,write,317.42,524.00,2026-09-06T06:42:57Z,upgrade
534,read,187.16,390.00,2026-09-06T06:43:07Z,upgrade
542,write,329.20,572.00,2026-09-06T06:43:15Z,upgrade
552,read,182.00,334.00,2026-09-06T06:43:25Z,upgrade
560,write,317.47,516.00,2026-09-06T06:43:33Z,upgrade
569,read,186.44,366.00,2026-09-06T06:43:42Z,upgrade
578,write,327.95,580.00,2026-09-06T06:43:51Z,upgrade
587,read,181.88,346.00,2026-09-06T06:44:00Z,upgrade
595,write,325.19,612.00,2026-09-06T06:44:08Z,upgrade
605,read,185.69,342.00,2026-09-06T06:44:18Z,upgrade
613,write,593.73,3248.00,2026-09-06T06:44:26Z,upgrade
622,read,181.87,346.00,2026-09-06T06:44:35Z,upgrade
631,write,392.73,620.00,2026-09-06T06:44:44Z,upgrade
