+19s Life=UPDATING Cap=1200 Act=[FILE_SYSTEM_UPDATE:PENDING:None% | STORAGE_OPTIMIZATION:PENDING:None%]
+56s Life=UPDATING Cap=1200 Act=[FILE_SYSTEM_UPDATE:IN_PROGRESS:None% | STORAGE_OPTIMIZATION:PENDING:None%]
+92s Life=UPDATING Cap=1200 Act=[FILE_SYSTEM_UPDATE:IN_PROGRESS:None% | STORAGE_OPTIMIZATION:PENDING:None%]
+129s Life=UPDATING Cap=1200 Act=[FILE_SYSTEM_UPDATE:IN_PROGRESS:None% | STORAGE_OPTIMIZATION:PENDING:None%]
+166s Life=UPDATING Cap=1200 Act=[FILE_SYSTEM_UPDATE:IN_PROGRESS:None% | STORAGE_OPTIMIZATION:PENDING:None%]
+202s Life=UPDATING Cap=1200 Act=[FILE_SYSTEM_UPDATE:IN_PROGRESS:None% | STORAGE_OPTIMIZATION:PENDING:None%]
+239s Life=UPDATING Cap=1200 Act=[FILE_SYSTEM_UPDATE:IN_PROGRESS:None% | STORAGE_OPTIMIZATION:PENDING:None%]
+275s Life=UPDATING Cap=1200 Act=[FILE_SYSTEM_UPDATE:IN_PROGRESS:None% | STORAGE_OPTIMIZATION:PENDING:None%]
+312s Life=UPDATING Cap=1200 Act=[FILE_SYSTEM_UPDATE:IN_PROGRESS:None% | STORAGE_OPTIMIZATION:PENDING:None%]
+349s Life=UPDATING Cap=1200 Act=[FILE_SYSTEM_UPDATE:IN_PROGRESS:None% | STORAGE_OPTIMIZATION:PENDING:None%]
+385s Life=UPDATING Cap=1200 Act=[FILE_SYSTEM_UPDATE:IN_PROGRESS:None% | STORAGE_OPTIMIZATION:PENDING:None%]
+422s Life=UPDATING Cap=1200 Act=[FILE_SYSTEM_UPDATE:IN_PROGRESS:None% | STORAGE_OPTIMIZATION:PENDING:None%]
+458s Life=UPDATING Cap=1200 Act=[FILE_SYSTEM_UPDATE:IN_PROGRESS:None% | STORAGE_OPTIMIZATION:PENDING:None%]
+495s Life=UPDATING Cap=1200 Act=[FILE_SYSTEM_UPDATE:IN_PROGRESS:None% | STORAGE_OPTIMIZATION:PENDING:None%]
+532s Life=UPDATING Cap=1200 Act=[FILE_SYSTEM_UPDATE:IN_PROGRESS:None% | STORAGE_OPTIMIZATION:PENDING:None%]
+568s Life=UPDATING Cap=1200 Act=[FILE_SYSTEM_UPDATE:IN_PROGRESS:None% | STORAGE_OPTIMIZATION:PENDING:None%]
+605s Life=UPDATING Cap=1200 Act=[FILE_SYSTEM_UPDATE:IN_PROGRESS:None% | STORAGE_OPTIMIZATION:PENDING:None%]
+641s Life=UPDATING Cap=1200 Act=[FILE_SYSTEM_UPDATE:IN_PROGRESS:None% | STORAGE_OPTIMIZATION:PENDING:None%]
+678s Life=UPDATING Cap=1200 Act=[FILE_SYSTEM_UPDATE:IN_PROGRESS:None% | STORAGE_OPTIMIZATION:PENDING:None%]
+714s Life=UPDATING Cap=1200 Act=[FILE_SYSTEM_UPDATE:IN_PROGRESS:None% | STORAGE_OPTIMIZATION:PENDING:None%]
+751s Life=UPDATING Cap=1200 Act=[FILE_SYSTEM_UPDATE:IN_PROGRESS:None% | STORAGE_OPTIMIZATION:PENDING:None%]
+788s Life=UPDATING Cap=1200 Act=[FILE_SYSTEM_UPDATE:IN_PROGRESS:None% | STORAGE_OPTIMIZATION:PENDING:None%]
+824s Life=UPDATING Cap=1200 Act=[FILE_SYSTEM_UPDATE:IN_PROGRESS:None% | STORAGE_OPTIMIZATION:PENDING:None%]
+861s Life=UPDATING Cap=1200 Act=[FILE_SYSTEM_UPDATE:IN_PROGRESS:None% | STORAGE_OPTIMIZATION:PENDING:None%]
+897s Life=UPDATING Cap=1200 Act=[FILE_SYSTEM_UPDATE:IN_PROGRESS:None% | STORAGE_OPTIMIZATION:PENDING:None%]
+934s Life=UPDATING Cap=1200 Act=[FILE_SYSTEM_UPDATE:IN_PROGRESS:None% | STORAGE_OPTIMIZATION:PENDING:None%]
+971s Life=UPDATING Cap=1200 Act=[FILE_SYSTEM_UPDATE:IN_PROGRESS:None% | STORAGE_OPTIMIZATION:PENDING:None%]
