[03:49:22] +12s Life=UPDATING 1200 [{'T': 'FILE_SYSTEM_UPDATE', 'S': 'IN_PROGRESS', 'P': None}, {'T': 'STORAGE_OPTIMIZATION', 'S': 'PENDING', 'P': None}]
[03:50:08] +59s Life=UPDATING 1200 [{'T': 'FILE_SYSTEM_UPDATE', 'S': 'IN_PROGRESS', 'P': None}, {'T': 'STORAGE_OPTIMIZATION', 'S': 'PENDING', 'P': None}]
[03:50:55] +105s Life=UPDATING 1200 [{'T': 'FILE_SYSTEM_UPDATE', 'S': 'IN_PROGRESS', 'P': None}, {'T': 'STORAGE_OPTIMIZATION', 'S': 'PENDING', 'P': None}]
[03:51:41] +152s Life=UPDATING 1200 [{'T': 'FILE_SYSTEM_UPDATE', 'S': 'IN_PROGRESS', 'P': None}, {'T': 'STORAGE_OPTIMIZATION', 'S': 'PENDING', 'P': None}]
[03:52:28] +198s Life=UPDATING 1200 [{'T': 'FILE_SYSTEM_UPDATE', 'S': 'IN_PROGRESS', 'P': None}, {'T': 'STORAGE_OPTIMIZATION', 'S': 'PENDING', 'P': None}]
[03:53:14] +245s Life=UPDATING 1200 [{'T': 'FILE_SYSTEM_UPDATE', 'S': 'IN_PROGRESS', 'P': None}, {'T': 'STORAGE_OPTIMIZATION', 'S': 'PENDING', 'P': None}]
[03:54:01] +291s Life=UPDATING 1200 [{'T': 'FILE_SYSTEM_UPDATE', 'S': 'IN_PROGRESS', 'P': None}, {'T': 'STORAGE_OPTIMIZATION', 'S': 'PENDING', 'P': None}]
[03:54:47] +338s Life=UPDATING 1200 [{'T': 'FILE_SYSTEM_UPDATE', 'S': 'IN_PROGRESS', 'P': None}, {'T': 'STORAGE_OPTIMIZATION', 'S': 'PENDING', 'P': None}]
[03:55:34] +385s Life=UPDATING 1200 [{'T': 'FILE_SYSTEM_UPDATE', 'S': 'IN_PROGRESS', 'P': None}, {'T': 'STORAGE_OPTIMIZATION', 'S': 'PENDING', 'P': None}]
[03:56:21] +431s Life=UPDATING 1200 [{'T': 'FILE_SYSTEM_UPDATE', 'S': 'IN_PROGRESS', 'P': None}, {'T': 'STORAGE_OPTIMIZATION', 'S': 'PENDING', 'P': None}]
[03:57:07] +478s Life=UPDATING 1200 [{'T': 'FILE_SYSTEM_UPDATE', 'S': 'IN_PROGRESS', 'P': None}, {'T': 'STORAGE_OPTIMIZATION', 'S': 'PENDING', 'P': None}]
[03:57:54] +524s Life=UPDATING 1200 [{'T': 'FILE_SYSTEM_UPDATE', 'S': 'IN_PROGRESS', 'P': None}, {'T': 'STORAGE_OPTIMIZATION', 'S': 'PENDING', 'P': None}]
[03:58:40] +571s Life=UPDATING 1200 [{'T': 'FILE_SYSTEM_UPDATE', 'S': 'IN_PROGRESS', 'P': None}, {'T': 'STORAGE_OPTIMIZATION', 'S': 'PENDING', 'P': None}]
[03:59:27] +617s Life=UPDATING 1200 [{'T': 'FILE_SYSTEM_UPDATE', 'S': 'IN_PROGRESS', 'P': None}, {'T': 'STORAGE_OPTIMIZATION', 'S': 'PENDING', 'P': None}]
[04:00:13] +664s Life=UPDATING 1200 [{'T': 'FILE_SYSTEM_UPDATE', 'S': 'IN_PROGRESS', 'P': None}, {'T': 'STORAGE_OPTIMIZATION', 'S': 'PENDING', 'P': None}]
[04:01:00] +710s Life=UPDATING 1200 [{'T': 'FILE_SYSTEM_UPDATE', 'S': 'IN_PROGRESS', 'P': None}, {'T': 'STORAGE_OPTIMIZATION', 'S': 'PENDING', 'P': None}]
[04:01:46] +757s Life=UPDATING 1200 [{'T': 'FILE_SYSTEM_UPDATE', 'S': 'IN_PROGRESS', 'P': None}, {'T': 'STORAGE_OPTIMIZATION', 'S': 'PENDING', 'P': None}]
[04:02:33] +803s Life=UPDATING 1200 [{'T': 'FILE_SYSTEM_UPDATE', 'S': 'IN_PROGRESS', 'P': None}, {'T': 'STORAGE_OPTIMIZATION', 'S': 'PENDING', 'P': None}]
[04:03:19] +850s Life=UPDATING 1200 [{'T': 'FILE_SYSTEM_UPDATE', 'S': 'IN_PROGRESS', 'P': None}, {'T': 'STORAGE_OPTIMIZATION', 'S': 'PENDING', 'P': None}]
[04:04:06] +896s Life=UPDATING 1200 [{'T': 'FILE_SYSTEM_UPDATE', 'S': 'IN_PROGRESS', 'P': None}, {'T': 'STORAGE_OPTIMIZATION', 'S': 'PENDING', 'P': None}]
[04:04:52] +943s Life=AVAILABLE 2400 [{'T': 'FILE_SYSTEM_UPDATE', 'S': 'UPDATED_OPTIMIZING', 'P': None}, {'T': 'STORAGE_OPTIMIZATION', 'S': 'IN_PROGRESS', 'P': 0}]
[04:05:39] +989s Life=AVAILABLE 2400 [{'T': 'FILE_SYSTEM_UPDATE', 'S': 'UPDATED_OPTIMIZING', 'P': None}, {'T': 'STORAGE_OPTIMIZATION', 'S': 'IN_PROGRESS', 'P': 2}]
