name,dir,path,size_bytes,size_human,mtime_epoch,mtime_iso
file_1_2M.bin,/mnt/lustre/tree,/mnt/lustre/tree/file_1_2M.bin,2097152,2.0M,1789014595,2026-09-10T04:29:55+00:00
file_6_9M.bin,/mnt/lustre/tree,/mnt/lustre/tree/file_6_9M.bin,9437184,9.0M,1789014595,2026-09-10T04:29:55+00:00
file_4_1M.bin,/mnt/lustre/tree,/mnt/lustre/tree/file_4_1M.bin,1048576,1.0M,1789014595,2026-09-10T04:29:55+00:00
file_8_2M.bin,/mnt/lustre/tree,/mnt/lustre/tree/file_8_2M.bin,2097152,2.0M,1789014595,2026-09-10T04:29:55+00:00
file_7_2M.bin,/mnt/lustre/tree,/mnt/lustre/tree/file_7_2M.bin,2097152,2.0M,1789014595,2026-09-10T04:29:55+00:00
file_2_7M.bin,/mnt/lustre/tree,/mnt/lustre/tree/file_2_7M.bin,7340032,7.0M,1789014595,2026-09-10T04:29:55+00:00
file_9_6M.bin,/mnt/lustre/tree,/mnt/lustre/tree/file_9_6M.bin,6291456,6.0M,1789014595,2026-09-10T04:29:55+00:00
file_10_3M.bin,/mnt/lustre/tree,/mnt/lustre/tree/file_10_3M.bin,3145728,3.0M,1789014595,2026-09-10T04:29:55+00:00
file_5_8M.bin,/mnt/lustre/tree,/mnt/lustre/tree/file_5_8M.bin,8388608,8.0M,1789014595,2026-09-10T04:29:55+00:00
file_3_8M.bin,/mnt/lustre/tree,/mnt/lustre/tree/file_3_8M.bin,8388608,8.0M,1789014595,2026-09-10T04:29:55+00:00
file_5_10M.bin,/mnt/lustre/tree/d1_3,/mnt/lustre/tree/d1_3/file_5_10M.bin,10485760,10.0M,1789014611,2026-09-10T04:30:11+00:00
file_1_10M.bin,/mnt/lustre/tree/d1_3,/mnt/lustre/tree/d1_3/file_1_10M.bin,10485760,10.0M,1789014610,2026-09-10T04:30:10+00:00
file_4_2M.bin,/mnt/lustre/tree/d1_3,/mnt/lustre/tree/d1_3/file_4_2M.bin,2097152,2.0M,1789014611,2026-09-10T04:30:11+00:00
file_9_3M.bin,/mnt/lustre/tree/d1_3,/mnt/lustre/tree/d1_3/file_9_3M.bin,3145728,3.0M,1789014611,2026-09-10T04:30:11+00:00
file_8_10M.bin,/mnt/lustre/tree/d1_3,/mnt/lustre/tree/d1_3/file_8_10M.bin,10485760,10.0M,1789014611,2026-09-10T04:30:11+00:00
