name,dir,path,size_bytes,size_human,mtime_epoch,mtime_iso
f_432_38k.dat,/mnt/lustre/many100k/d1_4/d2_1/d3_3,/mnt/lustre/many100k/d1_4/d2_1/d3_3/f_432_38k.dat,38912,38.0K,1789018273,2026-09-10T05:31:13+00:00
f_494_31k.dat,/mnt/lustre/many100k/d1_4/d2_1/d3_3,/mnt/lustre/many100k/d1_4/d2_1/d3_3/f_494_31k.dat,31744,31.0K,1789018274,2026-09-10T05:31:14+00:00
f_503_64k.dat,/mnt/lustre/many100k/d1_4/d2_1/d3_3,/mnt/lustre/many100k/d1_4/d2_1/d3_3/f_503_64k.dat,65536,64.0K,1789018274,2026-09-10T05:31:14+00:00
f_388_52k.dat,/mnt/lustre/many100k/d1_4/d2_1/d3_3,/mnt/lustre/many100k/d1_4/d2_1/d3_3/f_388_52k.dat,53248,52.0K,1789018273,2026-09-10T05:31:13+00:00
f_414_43k.dat,/mnt/lustre/many100k/d1_4/d2_1/d3_3,/mnt/lustre/many100k/d1_4/d2_1/d3_3/f_414_43k.dat,44032,43.0K,1789018273,2026-09-10T05:31:13+00:00
f_448_54k.dat,/mnt/lustre/many100k/d1_4/d2_1/d3_3,/mnt/lustre/many100k/d1_4/d2_1/d3_3/f_448_54k.dat,55296,54.0K,1789018274,2026-09-10T05:31:14+00:00
f_474_42k.dat,/mnt/lustre/many100k/d1_4/d2_1/d3_3,/mnt/lustre/many100k/d1_4/d2_1/d3_3/f_474_42k.dat,43008,42.0K,1789018274,2026-09-10T05:31:14+00:00
f_449_55k.dat,/mnt/lustre/many100k/d1_4/d2_1/d3_3,/mnt/lustre/many100k/d1_4/d2_1/d3_3/f_449_55k.dat,56320,55.0K,1789018274,2026-09-10T05:31:14+00:00
f_515_46k.dat,/mnt/lustre/many100k/d1_4/d2_1/d3_3,/mnt/lustre/many100k/d1_4/d2_1/d3_3/f_515_46k.dat,47104,46.0K,1789018274,2026-09-10T05:31:14+00:00
f_423_19k.dat,/mnt/lustre/many100k/d1_4/d2_1/d3_3,/mnt/lustre/many100k/d1_4/d2_1/d3_3/f_423_19k.dat,19456,19.0K,1789018273,2026-09-10T05:31:13+00:00
f_409_62k.dat,/mnt/lustre/many100k/d1_4/d2_1/d3_3,/mnt/lustre/many100k/d1_4/d2_1/d3_3/f_409_62k.dat,63488,62.0K,1789018273,2026-09-10T05:31:13+00:00
f_400_52k.dat,/mnt/lustre/many100k/d1_4/d2_1/d3_3,/mnt/lustre/many100k/d1_4/d2_1/d3_3/f_400_52k.dat,53248,52.0K,1789018273,2026-09-10T05:31:13+00:00
